Species;Taxa;Sex;Age.d;Weght.g;Length.cm;Asymptotic weight.g;Asymptotic length.cm;Paper ;Comments
Dosidicus gigas;Squid;NA;204.545;905.9793648;34.942;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;190.619;920.375897;35.198;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;146.228;921.7883421;35.223;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;228.917;933.3004762;35.426;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;216.731;933.6419039;35.432;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;225.435;947.583466;35.676;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;235.01;976.0329031;36.168;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;194.971;977.3155919;36.19;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;197.582;991.7788036;36.437;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;185.397;992.190355;36.444;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;212.379;1050.713796;37.424;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
Dosidicus gigas;Squid;NA;208.027;1050.835075;37.426;6.50E+04;1.20E+02;MarkQuin2004 / Kooijman 2018 / RosaYama2013 (W_inf) ;
